Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
SAT 3812,Cyber Security I,Systems Admin. Technology,3.0,SAT 2711,,"Fall, Summer"
SAT 3820,Wireless System Administration,Systems Admin. Technology,4.0,SAT 2711,,"Spring, Summer"
SAT 3900,New Technologies Seminar,Systems Admin. Technology,1.0;  Repeatable to a Max of 6; Graded Pass/Fail Only,,SAT 3901,Fall
SAT 3901 - Becoming Human,Becoming Human - Communication and Technical Improv Seminar,Systems Admin. Technology,1.0; Graded Pass/Fail Only,,SAT 3900,Fall
SAT 4240,Voice over IP Engineering,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711 and SAT 3343,,On Demand - Offered alternate years beginning with the 2011-2012 academic year 
SAT 4310,Advanced Scripting Programming,Systems Admin. Technology,3.0,(SAT 1200 or CS 1111) and SAT 2511 and SAT 2711,,On Demand
SAT 4343,Network Engineering,Systems Admin. Technology,3.0,SAT 3343,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
SAT 4411,Data Center Engineering,Systems Admin. Technology,3.0,(SAT 3200 and SAT 3611) or (SAT 3511 and SAT 3711),,Spring
SAT 4422,Clinical Applications,Systems Admin. Technology,3.0,,,Fall
SAT 4424,Population Health Management,Systems Admin. Technology,3.0,SAT 4422,,Spring
SAT 4480,Senior Project I,Systems Admin. Technology,3.0,,,"Fall, Spring, Summer"
SAT 4541,Directory Services Architecture,Systems Admin. Technology,3.0,SAT 2711 or SAT 3511,,"Fall, Summer"
SAT 4600,Web Application Development,Systems Admin. Technology,3.0,SAT 3002,,Spring
SAT 4812,Cyber Security II,Systems Admin. Technology,3.0,SAT 3812,,"Fall, Spring"
SAT 4816,Digital Forensics,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711,,Fall
SAT 4880,Senior Project II,Systems Admin. Technology,3.0,SAT 4480,,"Fall, Spring, Summer"
SAT 4996,Special Topics in Computer Network Systems Administration,Systems Admin. Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
SAT 4997,Independent Study in Computer Network Systems Administration,Systems Admin. Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
SAT 4998,Undergraduate Research in Computer Network Systems Administration,Systems Admin. Technology,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
SS 1001,Orientation to the Social Sciences,Social Sciences,1.0,,,Fall
SS 1002,Introduction to Law and the Legal Practice,Social Sciences,2.0,,,Spring - Offered alternate years beginning with the 2015-2016 academic year 
SS 2100,Introduction to Cultural Anthropology,Social Sciences,3.0,,,Fall
SS 2200,Introduction to Archaeology,Social Sciences,3.0,,,"Fall, Spring"
SS 2210,"Evolution of Cities: Their origins, growth, and future",Social Sciences,3.0,,,Spring
SS 2300,Environment and Society,Social Sciences,3.0,,,Fall
SS 2400,Introduction to Human Geography,Social Sciences,3.0,,,Fall
SS 2500,United States History to 1877,Social Sciences,3.0,,,Spring - Offered alternate years beginning with the 2015-2016 academic year 
SS 2501,United States History Since 1877,Social Sciences,3.0,,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 2502,European History to 1650,Social Sciences,3.0,,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 2503,European History Since 1650,Social Sciences,3.0,,,Spring - Offered alternate years beginning with the 2013-2014 academic year 
SS 2504,World History to 1500,Social Sciences,3.0,,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 2505,World History Since 1500,Social Sciences,3.0,,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
SS 2600,American Government &amp; Politics,Social Sciences,3.0,,,Spring
SS 2601,Politics and Contemporary Issues of the European Union,Social Sciences,3.0,,,On Demand
SS 2610,Introduction to Law and Society,Social Sciences,3.0,,,"Fall, Summer"
SS 2635,Comparative Politics,Social Sciences,3.0,,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 2700,Introduction to Sociology,Social Sciences,3.0,,,"Fall, Spring"
SS 3200,Historical Archaeology,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring"
SS 3210,Field Archaeology,Social Sciences,variable to   8.0;  Repeatable to a Max of 8,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Summer
SS 3215,Archaeology Laboratory Practicum,Social Sciences,variable to   6.0;  Repeatable to a Max of 12,,,Summer
SS 3220,Archaeological Sciences,Social Sciences,4.0,SS 2200 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2006-2007 academic year 
SS 3230,Archaeology of Industry,Social Sciences,3.0,SS 2200 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3240,"Reading the Landscape: Anthropology, Geography, History",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3250,Human Origins &amp; Evolution,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2007-2008 academic year 
SS 3260,Latin American Cultural History,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2009-2010 academic year 
SS 3270,Archaeology of the African Diaspora,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2009-2010 academic year 
SS 3300,Environmental Problems,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3313,"Sustainability Science, Policy, and Assessment",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2012-2013 academic year 
SS 3315,Population and Environment,Social Sciences,3.0,(MA 1030 and MA 1031) or MA 1032 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2012-2013 academic year 
SS 3400,Contemporary Europe,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3410,World Resources &amp; Development,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3500,Modern American History,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3505,Military History of the U.S.,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3510,History of American Technology,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3511,History of Science in America,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3512,"Building America: The History of Planning, Engineering, and Development in the United States",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 3513,History of Making Things: Craft and Industry in America,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 3515,History of American Architecture,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 3520,U.S. Environmental History,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3521,Energy in American History,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3530,The Automobile in America,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 3540,History of Michigan,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2013-2014 academic year 
SS 3541,The Copper Country,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2015-2016 academic year 
SS 3552,Renaissance &amp; Reformation,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2015-2016 academic year 
SS 3553,Empires in World History,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 3560,History of England I,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3561,History of England II,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 3570,History of Canada,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 3580,Technology and Western Civilization,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3581,History of Science,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2014-2015 academic year 
SS 3600,American Foreign Policy,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2011-2012 academic year 
SS 3610,International Law,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring"
SS 3612,International Relations,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3621,Introduction to Public Policy and Public Management,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 3630,Environmental Policy and Politics,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2015-2016 academic year 
SS 3636,Perceptions of The Modern State and Governance,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3640,Selected Topics in Cyber-Law,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2015-2016 academic year 
SS 3650,Intellectual Property Management,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 3660,Constitutional Law,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2017-2018 academic year 
SS 3661,Civil Rights &amp; Civil Liberties,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2014-2015 academic year 
SS 3665,"Crime, Incarceration, and Social Policy",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 3700,Industry and Society,Social Sciences,3.0,SS 2700 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3710,Social Problems,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3750,Social Inequality,Social Sciences,3.0,SS 2700 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2017-2018 academic year 
SS 3760,Human Dimensions of Natural Resources,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3800,Energy Technology and Policy,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 3801,"Science, Technology, &amp; Society",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 3820,"Ethical, Legal and Societal Implications (ELSI) of Nanotechnology",Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2014-2015 academic year 
SS 3910,Histories and Cultures,Social Sciences,3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3920,Topics in Anthropology/Archaeology,Social Sciences,3.0;  Repeatable to a Max of 9,(SS 2100 or SS 2200) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3950,Topics in American History,Social Sciences,3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3951,Topics in European History,Social Sciences,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3952,Topics in World History,Social Sciences,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 3960,International Experience,Social Sciences,variable to   9.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Summer
SS 3961,Preparing for Cross-Cultural Immersion Experiences,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 3990,Topics in the Social Sciences,Social Sciences,variable to   3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 4000,Independent Study,Social Sciences,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
SS 4001,History of Social Thought,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
SS 4009,Introduction to Survey Methodology,Social Sciences,3.0,,,Fall
SS 4010,Statistics for the Social Sciences,Social Sciences,3.0,PSY 2720 or MA 2720 or BUS 2100,,Spring - Offered alternate years beginning with the 2016-2017 academic year 
SS 4020,Methods of Teaching Social Studies,Social Sciences,2.0,ED 4700(C),,"Fall, Spring"
SS 4030,Advanced Research in Anthropology,Social Sciences,2.0,,,"Fall, Spring"
SS 4050,GIS Applications for Social Scientists,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
SS 4100,American Indian Political Issues,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2007-2008 academic year 
SS 4200,Environmental Anthropology,Social Sciences,3.0,SS 2100 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
SS 4210,Global Change in Culture and Society Since 1400,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2010-2011 academic year 
SS 4211,Ethnographic Methods,Social Sciences,3.0,UN 1015,,Spring
SS 4220,Method &amp; Theory in Archaeology,Social Sciences,3.0,,,Fall - Offered alternate years beginning with the 2009-2010 academic year 
SS 4380,Landscape Ecology and Planning,Social Sciences,3.0,,,Spring
SS 4390,Seminar in Sustainability Issues,Social Sciences,variable to   3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 4500,Historiography,Social Sciences,3.0,,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
SS 4501 - Senior Thesis,Senior Thesis - History,Social Sciences,3.0,SS 4500(C),,On Demand
SS 4502,Historical Research,Social Sciences,1.0;  May be repeated,,,On Demand
SS 4700,Communities and Research,Social Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 4900,Seminar in Social Sciences,Social Sciences,variable to   3.0;  Repeatable to a Max of 9,,,On Demand
SS 4910,Professional Development for the Social Sciences,Social Sciences,1.0,,,Spring
SS 4920,Internship Experience,Social Sciences,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
SS 4921 - Washington Internship,Washington Internship - Professional Practicum,Social Sciences,variable to  15.0;  Repeatable to a Max of 15,,,On Demand
SS 4961,Experiential Learning in Cross-Cultural and Community Partnerships,Social Sciences,2.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
SS 4990,Directed Study in Anthropology,Social Sciences,variable to   3.0,,,"Fall, Spring, Summer"
SU 1000,Surveying Engineering Orientation,Surveying,1.0,,,Fall
SU 2000,Introduction to Surveying,Surveying,2.0,,,"Fall, Spring"
SU 2050,Plane Surveying,Surveying,3.0,SU 2000(C),,Fall
SU 2220,Route and Construction Surveying,Surveying,3.0,SU 2050 or SU 2000,,Spring
SU 3110,Surveying Field Practice,Surveying,4.0,SU 2220,,Fall
SU 3180,Boundary Surveying Principles,Surveying,3.0,SU 3600(C),,Fall
SU 3210,Site Planning and Development,Surveying,4.0,SU 2000,,Spring
SU 3540,Geospatial Information Technology with Elements of Field Cartography,Surveying,4.0,MA 3710,,Spring
SU 3600,Surveying Computations and Adjustments,Surveying,4.0,(SU 2000 or SU 2050) and (MA 2320 or MA 2321 or MA 2330) and SU 3110(C) and MA 3160(C) and MA 3710(C),,Fall
SU 4003,Geographic Information Systems (GIS) Technology Fundamentals,Surveying,1.0,,,On Demand
SU 4010,"Geospatial Concepts, Technologies, and Data",Surveying,3.0,,,On Demand
SU 4045,Geospatial Data Fusion,Surveying,3.0,SU 4140,,Spring
SU 4060,Geodesy,Surveying,3.0,SU 3600(C) or SU 3250,,"Fall, Spring"
SU 4100,Geodetic Positioning,Surveying,3.0,SU 4060(C),,Fall
SU 4140,Photogrammetry,Surveying,3.0,,,Fall
SU 4142,3D Surveying and Modeling with Laser Scanner Data,Surveying,3.0,,,On Demand
SU 4180,Land Subdivision Design,Surveying,3.0,SU 3180 and (CMG 3200 or SU 3210),,Spring
SU 4480,Geospatial Science and Technology to Support Land Cadastre,Surveying,3.0,,,On Demand
SU 4900,Capstone Design Project,Surveying,3.0,,,"Fall, Spring"
SU 4996,Special Topics in Geospatial Technologies,Surveying,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
SU 4997,Independent Study in Geospatial Technologies,Surveying,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
SU 4998,Undergraduate Research in Geospatial Technologies,Surveying,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
SU 4999,Professional Practice Review,Surveying,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
TE 4996,Special Topics in Technology,Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
TE 4997,Independent Study in Technology,Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
TE 4998,Undergraduate Research in Technology,Technology,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
UN 0500,Effective Scholarship,University Wide,1.0; Graded Pass/Fail Only,,,On Demand
UN 1000,Frameworks for Success for ExSEL,University Wide,1.0,,,"Fall, Spring, Summer"
UN 1005,Initiatives for Success,University Wide,1.0,,,"Fall, Spring, Summer"
UN 1010,Creating Your Success for Themed Communities,University Wide,1.0,,,"Fall, Spring, Summer"
UN 1011,Strategies for Success,University Wide,1.0,,,"Fall, Spring, Summer"
UN 1012,Academic Language &amp; Practice,University Wide,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
